title,publication_date,source,country,summary,url,language
Come funziona il conclave e da cosa dipende il colore della fumata,"Tue, 22 Apr 2025 09:01:48 +0200",ANSA (Italy),Italy,Nella riunione per scegliere il successore di papa Francesco entreranno 137 cardinali elettori,https://www.ansa.it/sito/videogallery/italia/2025/04/22/come-funziona-il-conclave-e-da-cosa-dipende-il-colore-della-fumata_18047a15-a232-4d9c-8b6a-5be9e4365141.html,it
"L'ultimo mese di Francesco, dalla malattia all'Urbi et Orbi","Mon, 21 Apr 2025 19:31:35 +0200",ANSA (Italy),Italy,Il Pspa si e' spento poco meno di un mese dopo i 38 giorni di ricovero al Gemelli,https://www.ansa.it/sito/videogallery/mondo/2025/04/21/lultimo-mese-di-francesco-dalla-malattia-allurbi-et-orbi_20c3b80c-dc20-49fd-a53b-0c89b064b551.html,it
Bonino: 'Commozione e senso di vuoto per la morte del Papa',"Mon, 21 Apr 2025 18:50:10 +0200",ANSA (Italy),Italy,'Ho accolto con profonda commozione la notizia',https://www.ansa.it/sito/notizie/politica/2025/04/21/bonino-commozione-e-senso-di-vuoto-per-la-morte-del-papa_10ba7b4d-11bd-4c80-acc8-c531972f66e8.html,it
"Cinque anni fa l'immagine che passò alla storia, Papa Francesco in una piazza San Pietro vuota","Thu, 27 Mar 2025 13:10:11 +0100",ANSA (Italy),Italy,Era il 27 marzo del 2020. Il mondo era in piena pandemia da Covid,https://www.ansa.it/sito/photogallery/primopiano/2025/03/26/cinque-anni-fa-limmagine-che-passo-alla-storia-papa-francesco-in-una_6a42a822-0481-4a2d-812d-31ad5e3410b2.html,it
Il Papa: 'La morte non è la fine di tutto ma un nuovo inizio',"Tue, 22 Apr 2025 09:03:41 +0200",ANSA (Italy),Italy,"Il testo inedito di Francesco, prefazione al libro del card. Scola. Arrivano in Vaticano i cardinali per la prima congregazione. Da domani l'ostensione nella basilica di San Pietro. Sabato forse i funerali",https://www.ansa.it/sito/notizie/cronaca/2025/04/22/il-papa-la-morte-non-e-la-fine-di-tutto-ma-un-nuovo-inizio.-il-testo-inedito-di-francesco_ab69951c-abd5-4957-a18a-109832efd068.html,it
Papa: tutti gli appuntamenti dei prossimi giorni,"Tue, 22 Apr 2025 08:52:34 +0200",ANSA (Italy),Italy,Dalla Congregazione generale ai funerali,https://www.ansa.it/vaticano/notizie/2025/04/21/papa-tutti-gli-appuntamenti-dei-prossimi-giorni_69ab4f32-cb9c-4437-810a-27bfab52dbd8.html,it
"La geografia di chi sceglierà il Papa, ecco i favoriti","Mon, 21 Apr 2025 19:30:03 +0200",ANSA (Italy),Italy,135 cardinali con diritto di voto: la fotografia del Collegio ridisegnato da Bergoglio,https://www.ansa.it/vaticano/notizie/2025/04/21/la-geografia-di-chi-scegliera-il-papa-ecco-i-favoriti-_b17e0b23-78c9-4412-bf09-1a732f8f9d93.html,it
La tomba a Santa Maria Maggiore e le esequie snelle: le volontà del Papa,"Mon, 21 Apr 2025 18:23:54 +0200",ANSA (Italy),Italy,Via le tre bare e il catafalco. Sepoltura fuori dal Vaticano,https://www.ansa.it/vaticano/notizie/2025/04/21/la-tomba-a-santa-maria-maggiore-e-le-esequie-snelle-le-volonta-del-papa_0bb8e932-f9a4-4ce5-b064-f03583df03eb.html,it
I fedeli a piazza San Pietro:  'Con noi fino alla fine',"Mon, 21 Apr 2025 19:11:53 +0200",ANSA (Italy),Italy,"In tanti sgomenti 'a Pasqua era qui, è stato il Papa della gente'",https://www.ansa.it/sito/notizie/cronaca/2025/04/21/il-dolore-dei-fedeli-in-piazza-san-pietro-era-il-papa-della-gente_02a661cd-df96-4b0a-87af-32565c5fb037.html,it
"Nuova bufera su Hegseth, 'chat di guerra con i famigliari'","Mon, 21 Apr 2025 19:01:51 +0200",ANSA (Italy),Italy,"Via Signal a moglie, fratello e avvocato. Ma Trump lo difende",https://www.ansa.it/sito/notizie/mondo/2025/04/21/nyt-hegseth-mando-chat-di-guerra-anche-a-moglie-e-fratello_53064367-de36-4f54-8d62-ad6d9b7c7198.html,it
"Violetta: ""Vivo per strada, una volta il Papa mi regalò un rosario e gli baciai la mano""","Tue, 22 Apr 2025 08:48:48 +0200",ANSA (Italy),Italy,"""Una volta ci ha invitati a cena, l'abbiamo salutato ed era contentissimo""",https://www.ansa.it/sito/videogallery/mondo/2025/04/21/morte-papa-francesco-violetta-vivo-per-strada-una-volta-mi-regalo_43525e61-73e4-4cd2-a8ce-7f4929715042.html,it
"Quando il Papa disse alle suore: ""Non perdete il senso dell'umorismo""","Tue, 22 Apr 2025 08:48:13 +0200",ANSA (Italy),Italy,"Qualche giorno fa il messaggio alle Clarisse a Spello. Parla madre Maria Chiara, la badessa",https://www.ansa.it/sito/videogallery/italia/2025/04/21/morte-papa-francesco-quando-disse-alle-suore-non-perdete-il-senso_862f2d6f-213f-4b08-8080-4d4a109b1036.html,it
La cugina del Papa ad Asti: 'L'avevo sentito in settimana',"Tue, 22 Apr 2025 08:32:05 +0200",ANSA (Italy),Italy,Gli ho detto 'mi sono rotta il piede'. E lui: 'Meno male che non è la testa',https://www.ansa.it/sito/notizie/cronaca/2025/04/21/la-cugina-del-papa-ad-asti-lavevo-sentito-in-settimana_dc34dcee-af65-4785-b841-06633d205a40.html,it
Finita la tregua. Trump: 'Possibile accordo in settimana',"Mon, 21 Apr 2025 20:09:02 +0200",ANSA (Italy),Italy,Riprese le operazioni russe. Gli ucraini mercoledì a Londra,https://www.ansa.it/sito/notizie/mondo/2025/04/21/finita-la-tregua.-trump-possibile-accordo-in-settimana-_7f97b11e-4f99-405a-bc64-9107064ac509.html,it
"La Cina rimanda negli Usa gli aerei Boeing, la nuova ritorsione contro i dazi","Mon, 21 Apr 2025 09:18:52 +0200",ANSA (Italy),Italy,Altra mossa di Pechino dopo le tariffe Usa al 145% sull'import. 'Ferma opposizione ad accordi commerciali a nostre spese',https://www.ansa.it/sito/notizie/mondo/2025/04/21/media-la-cina-rimanda-negli-usa-gli-aerei-boeing_5121088b-aed2-4174-82c4-9a64e5b35076.html,it
"La Soyuz MS-26 è rientrata dallo spazio, atterraggio in Kazakistan","Sun, 20 Apr 2025 07:01:54 +0200",ANSA (Italy),Italy,L'equipaggio ha concluso una missione di 220 giorni,https://www.ansa.it/sito/notizie/mondo/2025/04/20/soyuz-ms-26-rientra-dallo-spazio-atterraggio-in-kazakistan_6fe10159-448a-4f22-9467-59d6dbe6bf95.html,it
"'Turisti della frana' nel Modenese, installato un maxi schermo per loro","Sun, 20 Apr 2025 18:10:42 +0200",ANSA (Italy),Italy,"Il sindaco di Palagano: 'Questo non è un set, disturbano i lavori'",https://www.ansa.it/sito/notizie/cronaca/2025/04/20/turisti-della-frana-nel-modenese-installato-un-maxi-schermo-per-loro_a117be1e-9b22-4e60-9262-64cabfe70b74.html,it
"Spunta a Trastevere il nuovo murale di Harry Greb ""L'Angelo""","Sun, 20 Apr 2025 12:22:57 +0200",ANSA (Italy),Italy,Dedicato ai giornalisti che muoiono in Palestina raccontando la strage di bambini,https://www.ansa.it/sito/videogallery/italia/2025/04/20/spunta-a-trastevere-il-nuovo-murale-di-harry-greb-langelo_fbc5e82b-c049-45cf-af52-50ecffe2bd86.html,it
Meta e Amazon sponsor della caccia alle uova alla Casa Bianca,"Sun, 20 Apr 2025 06:54:43 +0200",ANSA (Italy),Italy,Le aziende hanno donato tra i 75.000 e i 200.000 dollari,https://www.ansa.it/sito/notizie/mondo/2025/04/20/meta-e-amazon-sponsor-caccia-alle-uova-alla-casa-bianca_d3eaa8a7-399a-456d-990a-8126f8a97254.html,it
La biografa: 'Diventare Papa non lo cambiò',"Mon, 21 Apr 2025 19:23:40 +0200",ANSA (Italy),Italy,Parla Francesca Ambrogetti: 'Fu sempre coerente con se stesso',https://www.ansa.it/sito/notizie/politica/2025/04/21/la-biografa-diventare-papa-non-lo-cambio_b3f7a951-5563-43b2-936c-bf49830e489b.html,it
"La coabitazione col predecessore, Francesco e il papa emerito","Mon, 21 Apr 2025 17:22:27 +0200",ANSA (Italy),Italy,"Due papi in Vaticano, situazione senza precedenti nella storia",https://www.ansa.it/vaticano/notizie/2025/04/21/la-coabitazione-col-predecessore-francesco-e-il-papa-emerito-_6f1b5f4b-2073-4c48-85c5-85fe5fb20952.html,it
Nuovo Forum dell'ANSA sulla guerra dei dazi e la posizione dell'Europa,"Tue, 22 Apr 2025 08:51:22 +0200",ANSA (Italy),Italy,In diretta dalle 13:30 di martedì 22 aprile,https://www.ansa.it/europa/notizie/rubriche/altrenews/2025/04/18/nuovo-forum-dellansa-sulla-guerra-dei-dazi-e-la-posizione-delleuropa_8f3f02fc-32c6-4f65-9d35-1468c593f300.html,it
